hash_table,avg_diff,std_diff,cnt_diff,ss_diff
demo.riotlocal_iotserver-exchange_tcp_amqp_telenor.se_amqp_http://demo.riotsecure.io:7888/metrics,-54.84611774362034,6086.849953591747,4713.0,174578385989.36603
demo.riotlocal_iotserver-exchange_tcp_amqps_telenor.se_amqps_http://demo.riotsecure.io:7888/metrics,26.188601000757053,4595.953534707594,4714.0,99551704053.75578
demo.riotlocal_iotserver-exchange_tcp_asp_telenor.se_asp_http://demo.riotsecure.io:7888/metrics,46972.178452814325,59174.470503432785,17.0,93534441676.03778
demo.riotlocal_iotserver-exchange_tcp_bgpd_telenor.se_bgpd_http://demo.riotsecure.io:7888/metrics,1908.2608307604287,17944.440361064007,606.0,194811784631.4376
demo.riotlocal_iotserver-exchange_tcp_bpcd_telenor.se_bpcd_http://demo.riotsecure.io:7888/metrics,-23229.05053375244,52863.2572225322,50.0,163911113679.58572
demo.riotlocal_iotserver-exchange_tcp_bpdbm_telenor.se_bpdbm_http://demo.riotsecure.io:7888/metrics,-5480.248038106309,32203.621283743934,221.0,228156245129.56125
demo.riotlocal_iotserver-exchange_tcp_bprd_telenor.se_bprd_http://demo.riotsecure.io:7888/metrics,-683.8200533423492,32268.248165783487,240.0,248856323633.94733
demo.riotlocal_iotserver-exchange_tcp_canna_telenor.se_canna_http://demo.riotsecure.io:7888/metrics,201.2067668190202,6377.49896558692,4710.0,191526769809.59247
demo.riotlocal_iotserver-exchange_tcp_cfengine_94.234.170.115_cfengine_http://demo.riotsecure.io:7888/metrics,76626.1755320496,67285.81589152067,18.0,182653751323.2221
demo.riotlocal_iotserver-exchange_tcp_cfengine_94.234.170.123_cfengine_http://demo.riotsecure.io:7888/metrics,96360.69742688537,91218.46553993908,8.0,132528731256.99342
demo.riotlocal_iotserver-exchange_tcp_cvspserver_telenor.se_cvspserver_http://demo.riotsecure.io:7888/metrics,1243.0857248093428,14354.480754716576,1131.0,232837764409.6868
