hash_table,avg_diff,std_diff
demo.riotlocal_iotserver-exchange_tcp_bprd_telenor.se_bprd_http://demo.riotsecure.io:7888/metrics,-4568.606744443669,58217.82265473444
demo.riotlocal_iotserver-exchange_tcp_canna_telenor.se_canna_http://demo.riotsecure.io:7888/metrics,29960.52686890396,62259.48442910176
demo.riotlocal_iotserver-exchange_tcp_cfengine_94.234.170.115_cfengine_http://demo.riotsecure.io:7888/metrics,76626.1755320496,67285.81589152067
demo.riotlocal_iotserver-exchange_tcp_cfengine_94.234.170.123_cfengine_http://demo.riotsecure.io:7888/metrics,96360.69742688537,91218.46553993908
demo.riotlocal_iotserver-exchange_tcp_cvspserver_telenor.se_cvspserver_http://demo.riotsecure.io:7888/metrics,82641.0295045111,80405.5911164803
demo.riotlocal_iotserver-exchange_tcp_daap_94.234.170.124_daap_http://demo.riotsecure.io:7888/metrics,66921.45032515525,59340.29950047364
demo.riotlocal_iotserver-exchange_tcp_dcap_telenor.se_dcap_http://demo.riotsecure.io:7888/metrics,-55593.935763362526,54440.38205490666
demo.riotlocal_iotserver-exchange_tcp_dict_94.234.170.98_dict_http://demo.riotsecure.io:7888/metrics,5911.64237353296,51561.07989366287
demo.riotlocal_iotserver-exchange_tcp_dict_telenor.se_dict_http://demo.riotsecure.io:7888/metrics,55938.65200177361,51078.39033467612
demo.riotlocal_iotserver-exchange_tcp_distcc_94.234.170.98_distcc_http://demo.riotsecure.io:7888/metrics,42667.657261902634,52919.713957135566
demo.riotlocal_iotserver-exchange_tcp_distcc_telenor.se_distcc_http://demo.riotsecure.io:7888/metrics,-20087.19898863022,57538.48844574917
demo.riotlocal_iotserver-exchange_tcp_distmp3_94.234.170.124_distmp3_http://demo.riotsecure.io:7888/metrics,58239.68526714189,62842.47568813903
demo.riotlocal_iotserver-exchange_tcp_eklogin_telenor.se_eklogin_http://demo.riotsecure.io:7888/metrics,40223.77866485244,46466.24785935569
demo.riotlocal_iotserver-exchange_tcp_fax_94.234.170.98_fax_http://demo.riotsecure.io:7888/metrics,46365.794632899764,54194.90779268517
demo.riotlocal_iotserver-exchange_tcp_fido_94.234.170.124_fido_http://demo.riotsecure.io:7888/metrics,-93894.48239866893,68902.24975437035
demo.riotlocal_iotserver-exchange_tcp_fido_ownit.se_fido_http://demo.riotsecure.io:7888/metrics,31094.359697182972,50265.236884469974
demo.riotlocal_iotserver-exchange_tcp_freeciv_telenor.se_freeciv_http://demo.riotsecure.io:7888/metrics,-112625.71618350346,54485.94073142378
demo.riotlocal_iotserver-exchange_tcp_ggz_telenor.se_ggz_http://demo.riotsecure.io:7888/metrics,14372.39466417158,54763.590289035805
demo.riotlocal_iotserver-exchange_tcp_gnunet_94.234.170.124_gnunet_http://demo.riotsecure.io:7888/metrics,20602.27621157964,61286.95604620228
