uuid,_time,dst,dstp,proto,service,src,srcp,url,_value,_value_diff,hash_table
106579,2021-12-17 03:59:37+00:00,demo.riotlocal,iotserver-exchange,tcp,kx,telenor.se,kx,http://demo.riotsecure.io:7888/metrics,1639713567.540609,113129.02880430222,demo.riotlocal_iotserver-exchange_tcp_kx_telenor.se_kx_http://demo.riotsecure.io:7888/metrics
110312,2021-12-16 11:07:13+00:00,demo.riotlocal,iotserver-exchange,tcp,mmcc,telenor.se,mmcc,http://demo.riotsecure.io:7888/metrics,1639594239.6301765,2025.3915829658508,demo.riotlocal_iotserver-exchange_tcp_mmcc_telenor.se_mmcc_http://demo.riotsecure.io:7888/metrics
118949,2021-12-16 18:51:41+00:00,demo.riotlocal,iotserver-exchange,tcp,nfs,telenor.se,nfs,http://demo.riotsecure.io:7888/metrics,1639680678.6299787,90804.36060547829,demo.riotlocal_iotserver-exchange_tcp_nfs_telenor.se_nfs_http://demo.riotsecure.io:7888/metrics
127500,2021-12-16 11:07:13+00:00,demo.riotlocal,iotserver-exchange,tcp,puppet,telenor.se,puppet,http://demo.riotsecure.io:7888/metrics,1639628265.7203472,33258.597509384155,demo.riotlocal_iotserver-exchange_tcp_puppet_telenor.se_puppet_http://demo.riotsecure.io:7888/metrics
136137,2021-12-16 11:07:13+00:00,demo.riotlocal,iotserver-exchange,tcp,vnetd,94.234.170.123,vnetd,http://demo.riotsecure.io:7888/metrics,1639591410.7277517,4748.597495555878,demo.riotlocal_iotserver-exchange_tcp_vnetd_94.234.170.123_vnetd_http://demo.riotsecure.io:7888/metrics
139016,2021-12-17 09:41:50+00:00,demo.riotlocal,iotserver-exchange,tcp,vnetd,telenor.se,vnetd,http://demo.riotsecure.io:7888/metrics,1639734090.034421,142679.30666923523,demo.riotlocal_iotserver-exchange_tcp_vnetd_telenor.se_vnetd_http://demo.riotsecure.io:7888/metrics
142065,2021-12-16 11:40:12+00:00,demo.riotlocal,iotserver-exchange,tcp,wnn6,telenor.se,wnn6,http://demo.riotsecure.io:7888/metrics,1639654773.432128,59084.335293293,demo.riotlocal_iotserver-exchange_tcp_wnn6_telenor.se_wnn6_http://demo.riotsecure.io:7888/metrics
147757,2021-12-16 22:11:19+00:00,demo.riotlocal,iotserver-exchange,tcp,xinetd,telenor.se,xinetd,http://demo.riotsecure.io:7888/metrics,1639692660.0274806,93467.92698454857,demo.riotlocal_iotserver-exchange_tcp_xinetd_telenor.se_xinetd_http://demo.riotsecure.io:7888/metrics
157353,2021-12-16 23:19:18+00:00,demo.riotlocal,iotserver-exchange,tcp,zope,telenor.se,zope,http://demo.riotsecure.io:7888/metrics,1639696712.8614423,54655.339179039,demo.riotlocal_iotserver-exchange_tcp_zope_telenor.se_zope_http://demo.riotsecure.io:7888/metrics
161592,2021-12-16 23:24:17+00:00,ownit.se,dircproxy,tcp,dircproxy,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639697026.7032366,42561.5352973938,ownit.se_dircproxy_tcp_dircproxy_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
165876,2021-12-17 09:27:49+00:00,shodan.io,vboxd,tcp,vboxd,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics,1639733246.0458248,91540.3279440403,shodan.io_vboxd_tcp_vboxd_demo.riotlocal_console-https_http://demo.riotsecure.io:7888/metrics
167302,2021-12-17 00:55:19+00:00,telenor.se,amidxtape,tcp,amidxtape,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639702488.8314524,168.43672275543213,telenor.se_amidxtape_tcp_amidxtape_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
177162,2021-12-16 11:07:13+00:00,telenor.se,bgpsim,tcp,bgpsim,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639597104.3155105,1797.7064609527588,telenor.se_bgpsim_tcp_bgpsim_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
180041,2021-12-17 08:51:21+00:00,telenor.se,binkp,tcp,binkp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639731039.535435,133935.21992444992,telenor.se_binkp_tcp_binkp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
183533,2021-12-17 06:44:19+00:00,telenor.se,cvspserver,tcp,cvspserver,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639723415.1876566,126265.04033589363,telenor.se_cvspserver_tcp_cvspserver_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
195574,2021-12-17 03:59:19+00:00,telenor.se,eklogin,tcp,eklogin,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639713519.950158,124134.1443824768,telenor.se_eklogin_tcp_eklogin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
198369,2021-12-17 07:25:38+00:00,telenor.se,gpsd,tcp,gpsd,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639725923.724104,44949.37962889671,telenor.se_gpsd_tcp_gpsd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
202538,2021-12-17 07:09:38+00:00,telenor.se,gsiftp,tcp,gsiftp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639724967.9383662,94491.24924325943,telenor.se_gsiftp_tcp_gsiftp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
209313,2021-12-16 13:50:39+00:00,telenor.se,iax,tcp,iax,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639662616.143174,537.8218719959259,telenor.se_iax_tcp_iax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
214744,2021-12-17 04:01:19+00:00,telenor.se,iprop,tcp,iprop,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639713647.2854338,115419.99895834923,telenor.se_iprop_tcp_iprop_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
218474,2021-12-17 03:59:37+00:00,telenor.se,kx,tcp,kx,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639713567.7462218,113129.03389906883,telenor.se_kx_tcp_kx_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
227965,2021-12-16 18:51:41+00:00,telenor.se,nfs,tcp,nfs,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639680678.8305037,90804.36068487167,telenor.se_nfs_tcp_nfs_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
233637,2021-12-16 11:07:13+00:00,telenor.se,puppet,tcp,puppet,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639628265.925953,33258.60260748863,telenor.se_puppet_tcp_puppet_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
236516,2021-12-17 09:42:20+00:00,telenor.se,vnetd,tcp,vnetd,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639734090.3872805,105824.4613275528,telenor.se_vnetd_tcp_vnetd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
249038,2021-12-16 23:19:18+00:00,telenor.se,zope,tcp,zope,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639696713.1899095,54655.46706008911,telenor.se_zope_tcp_zope_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
