uuid,_time,dst,dstp,proto,service,src,srcp,url,_value,_value_diff,hash_table
106315,2021-12-17 03:59:37+00:00,demo.riotlocal,iotserver-exchange,tcp,kx,telenor.se,kx,http://demo.riotsecure.io:7888/metrics,1639713567.5406878,113129.02883672714,demo.riotlocal_iotserver-exchange_tcp_kx_telenor.se_kx_http://demo.riotsecure.io:7888/metrics
110035,2021-12-16 10:59:38+00:00,demo.riotlocal,iotserver-exchange,tcp,mmcc,telenor.se,mmcc,http://demo.riotsecure.io:7888/metrics,1639594239.63022,2025.391580581665,demo.riotlocal_iotserver-exchange_tcp_mmcc_telenor.se_mmcc_http://demo.riotsecure.io:7888/metrics
118675,2021-12-16 18:51:41+00:00,demo.riotlocal,iotserver-exchange,tcp,nfs,telenor.se,nfs,http://demo.riotsecure.io:7888/metrics,1639680678.6300254,90804.36061954498,demo.riotlocal_iotserver-exchange_tcp_nfs_telenor.se_nfs_http://demo.riotsecure.io:7888/metrics
127200,2021-12-16 10:59:38+00:00,demo.riotlocal,iotserver-exchange,tcp,puppet,telenor.se,puppet,http://demo.riotsecure.io:7888/metrics,1639628265.7203794,33258.59749865532,demo.riotlocal_iotserver-exchange_tcp_puppet_telenor.se_puppet_http://demo.riotsecure.io:7888/metrics
135840,2021-12-16 10:59:38+00:00,demo.riotlocal,iotserver-exchange,tcp,vnetd,94.234.170.123,vnetd,http://demo.riotsecure.io:7888/metrics,1639591410.7278454,4748.597542762756,demo.riotlocal_iotserver-exchange_tcp_vnetd_94.234.170.123_vnetd_http://demo.riotsecure.io:7888/metrics
138720,2021-12-17 09:41:50+00:00,demo.riotlocal,iotserver-exchange,tcp,vnetd,telenor.se,vnetd,http://demo.riotsecure.io:7888/metrics,1639734090.0344553,142679.306609869,demo.riotlocal_iotserver-exchange_tcp_vnetd_telenor.se_vnetd_http://demo.riotsecure.io:7888/metrics
141756,2021-12-16 11:40:12+00:00,demo.riotlocal,iotserver-exchange,tcp,wnn6,telenor.se,wnn6,http://demo.riotsecure.io:7888/metrics,1639654773.4321625,59084.335290670395,demo.riotlocal_iotserver-exchange_tcp_wnn6_telenor.se_wnn6_http://demo.riotsecure.io:7888/metrics
147435,2021-12-16 22:11:19+00:00,demo.riotlocal,iotserver-exchange,tcp,xinetd,telenor.se,xinetd,http://demo.riotsecure.io:7888/metrics,1639692660.0275147,93467.92697143555,demo.riotlocal_iotserver-exchange_tcp_xinetd_telenor.se_xinetd_http://demo.riotsecure.io:7888/metrics
157005,2021-12-16 23:18:42+00:00,demo.riotlocal,iotserver-exchange,tcp,zope,telenor.se,zope,http://demo.riotsecure.io:7888/metrics,1639696712.8614736,54655.3391661644,demo.riotlocal_iotserver-exchange_tcp_zope_telenor.se_zope_http://demo.riotsecure.io:7888/metrics
161217,2021-12-16 23:24:17+00:00,ownit.se,dircproxy,tcp,dircproxy,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639697026.7032814,42561.53527355194,ownit.se_dircproxy_tcp_dircproxy_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
165488,2021-12-17 09:27:49+00:00,shodan.io,vboxd,tcp,vboxd,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics,1639733246.0460796,91540.32806754112,shodan.io_vboxd_tcp_vboxd_demo.riotlocal_console-https_http://demo.riotsecure.io:7888/metrics
166887,2021-12-17 00:55:19+00:00,telenor.se,amidxtape,tcp,amidxtape,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639702488.8314958,168.43671870231628,telenor.se_amidxtape_tcp_amidxtape_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
