table,_time,_value,dst,dstp,proto,src,srcp,url
2,2021-12-12T19:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T20:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T21:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T22:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T23:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T00:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T01:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T02:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T03:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T04:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T05:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T06:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T07:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T08:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T08:11:09.961129133Z,1639323322.5113294,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-12T16:00:00Z,1639323333.6869454,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-12T17:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-12T18:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-12T19:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-12T20:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-12T21:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-12T22:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-12T23:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T00:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T01:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T02:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T03:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T04:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T05:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T06:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T07:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T08:00:00Z,1639323333.6869485,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
3,2021-12-13T08:11:09.961129133Z,1639323333.6869464,94.234.170.115,noclog,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T01:00:00Z,1639270004.8190155,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T02:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T03:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T04:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T05:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T06:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T07:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T08:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T09:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T10:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T11:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T12:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T13:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T14:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T15:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T16:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T17:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T18:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T19:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T20:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T21:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T22:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-12T23:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-13T00:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-13T01:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-13T02:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-13T03:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
4,2021-12-13T04:00:00Z,1639270004.8190205,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
