#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dst,dstp,host,proto,service,src,srcp,url
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:21:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:21:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:22:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:22:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:23:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:23:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:24:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:24:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:25:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:25:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:26:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:26:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:27:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:27:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:28:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:28:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:29:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:29:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:30:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:30:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:31:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:31:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:32:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:32:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:33:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:33:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:34:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:34:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:35:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:35:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:36:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:36:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:37:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:37:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:38:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:38:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:39:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:39:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:40:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:40:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:41:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:41:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:42:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:42:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:43:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:43:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:44:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:44:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:45:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:45:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:46:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:46:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:47:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:47:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:48:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:48:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:49:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:49:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:50:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:50:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:51:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:51:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:52:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:52:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:53:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:53:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:54:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:54:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:55:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:55:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
