_value
amanda
amandaidx
amqp
amqps
asp
bgpd
bpcd
bpdbm
bprd
canna
cfengine
cvspserver
daap
dcap
dict
dircproxy
distcc
distmp3
eklogin
fax
fido
freeciv
ggz
git
gnunet
gris
gsidcap
gsigatekeeper
hkp
hostmon
hylafax
iax
icpv2
iprop
ircd
isdnlog
isisd
isns
kamanda
knetd
mdns
mmcc
mon
mrtd
mtn
munin
nbd
nfs
ninstall
noclog
nut
ospf6d
ospfapi
ospfd
pcrd
postgresql
remctl
rfe
ripd
ripngd
sieve
sip
smsqp
svn
sysrqd
tfido
vboxd
venus
vopied
wnn6
x11
xinetd
xmms2
xpilot
xtell
zebra
zope
afmbackup
codasrv
amidxtape
gsiftp
kx
zebrasrv
afbackup
gpsd
puppet
webmin
suucp
aol
epmd
bgpsim
vnetd
binkp
dicom
csync2
nsca
nrpe
None
bpjava-msvc
sgi-cad
rest-http
x11-5
iotsrv-token
font-service
iotsrv-fwcore
console-ng-https
rtcm-sc104
db-lsp
enbd-sstatd
afs3-vlserver
iscsi-target
x11-7
codasrv-se
iotsrv-exchange
afs3-errors
x11-6
zabbix-agent
iotsrv-fwapply
console-https
x11-4
bacula-dir
sip-tls
iotsrv-session
bacula-fd
mysql
enbd-cstatd
zabbix-trapper
f5-iquery
afs3-callback
bacula-sd
venus-se
radmin-port
gnutella-svc
gnutella-rtr
console-http
rest-https
f5-globalsite
afs3-rmtsys
time
sge-qmaster
http-alt
syslog-tls
x11-1
afs3-prserver
afs3-update
frox
afs3-bos
sge-execd
gds-db
afs3-volser
sane-port
zope-ftp
xmpp-server
omniorb
x11-2
ircs-u
x11-3
afs3-kaserver
mysql-proxy
